     Radius(Au)   SIGMA(gcm-2)    Omega(yr-1)     Nu(cm2s-1)        Tmid(K)         Tef(K)        Cs(m/s)          H(AU)      RO(gcm-3)   Pg(gcm-1s-2)            TAU     Vrad(cm/s)    Vturb(cm/s)     MFre_P(cm)        Q_Toomr          VDisk OPTIC Drag_
  1.1729337E+02  8.3087493E-02  3.4811925E-03  7.6580954E+16  1.7847205E+01  1.7847205E+01  2.5971145E+02  1.9657956E+01  1.4088866E-16  1.1910176E-07  2.6465254E-03 -2.1733641E+02  9.2701677E+03  0.0000000E+00  1.6459091E+02  0.0000000E+00     1     0
  1.1899906E+02  7.5344260E-02  3.4066142E-03  7.8101824E+16  1.7811706E+01  1.7811706E+01  2.5945304E+02  2.0068324E+01  1.2514624E-16  1.0558331E-07  2.3903485E-03 -2.1867541E+02  9.2609438E+03  0.0000000E+00  1.7744097E+02  0.0000000E+00     1     0
  1.2071706E+02  6.8300918E-02  3.3341511E-03  7.9644073E+16  1.7777068E+01  1.7777068E+01  2.5920064E+02  2.0484534E+01  1.1114225E-16  9.3586084E-08  2.1584740E-03 -2.2001741E+02  9.2519346E+03  0.0000000E+00  1.9138908E+02  0.0000000E+00     1     0
  1.2244737E+02  6.1896570E-02  3.2637286E-03  8.1207870E+16  1.7743266E+01  1.7743266E+01  2.5895409E+02  2.0906630E+01  9.8687307E-17  8.2940529E-08  1.9486494E-03 -2.2136232E+02  9.2431344E+03  0.0000000E+00  2.0653450E+02  0.0000000E+00     1     0
  1.2419000E+02  5.6075362E-02  3.1952756E-03  8.2793379E+16  1.7710276E+01  1.7710276E+01  2.5871324E+02  2.1334656E+01  8.7612322E-17  7.3495790E-08  1.7588255E-03 -2.2271007E+02  9.2345375E+03  0.0000000E+00  2.2298583E+02  0.0000000E+00     1     0
  1.2594494E+02  5.0786092E-02  3.1287235E-03  8.4400768E+16  1.7678075E+01  1.7678075E+01  2.5847794E+02  2.1768655E+01  7.7766391E-17  6.5117672E-08  1.5871383E-03 -2.2406057E+02  9.2261387E+03  0.0000000E+00  2.4086197E+02  0.0000000E+00     1     0
  1.2771219E+02  4.5981850E-02  3.0640069E-03  8.6030200E+16  1.7646642E+01  1.7646642E+01  2.5824804E+02  2.2208672E+01  6.9014858E-17  5.7686822E-08  1.4318931E-03 -2.2541375E+02  9.2179325E+03  0.0000000E+00  2.6029312E+02  0.0000000E+00     1     0
  1.2949175E+02  4.1619677E-02  3.0010629E-03  8.7681843E+16  1.7615954E+01  1.7615954E+01  2.5802339E+02  2.2654750E+01  6.1237602E-17  5.1097103E-08  1.2915494E-03 -2.2676954E+02  9.2099139E+03  0.0000000E+00  2.8142186E+02  0.0000000E+00     1     0
  1.3128363E+02  3.7660253E-02  2.9398312E-03  8.9355860E+16  1.7585991E+01  1.7585991E+01  2.5780386E+02  2.3106933E+01  5.4327494E-17  4.5254154E-08  1.1647076E-03 -2.2812784E+02  9.2020779E+03  0.0000000E+00  3.0440441E+02  0.0000000E+00     1     0
  1.3308782E+02  3.4067607E-02  2.8802541E-03  9.1052417E+16  1.7556732E+01  1.7556732E+01  2.5758931E+02  2.3565265E+01  4.8189014E-17  4.0074090E-08  1.0500960E-03 -2.2948859E+02  9.1944198E+03  0.0000000E+00  3.2941197E+02  0.0000000E+00     1     0
  1.3490432E+02  3.0808847E-02  2.8222760E-03  9.2771680E+16  1.7528159E+01  1.7528159E+01  2.5737961E+02  2.4029789E+01  4.2737019E-17  3.5482357E-08  9.4655976E-04 -2.3085171E+02  9.1869348E+03  0.0000000E+00  3.5663218E+02  0.0000000E+00     1     0
  1.3673313E+02  2.7853913E-02  2.7658435E-03  9.4513811E+16  1.7500251E+01  1.7500251E+01  2.5717464E+02  2.4500550E+01  3.7895630E-17  3.1412707E-08  8.5305058E-04 -2.3221712E+02  9.1796184E+03  0.0000000E+00  3.8627081E+02  0.0000000E+00     1     0
  1.3857426E+02  2.5175343E-02  2.7109056E-03  9.6278977E+16  1.7472992E+01  1.7472992E+01  2.5697426E+02  2.4977589E+01  3.3597242E-17  2.7806276E-08  7.6861691E-04 -2.3358475E+02  9.1724662E+03  0.0000000E+00  4.1855351E+02  0.0000000E+00     1     0
  1.4042770E+02  2.2748063E-02  2.6574131E-03  9.8067341E+16  1.7446362E+01  1.7446362E+01  2.5677837E+02  2.5460953E+01  2.9781633E-17  2.4610777E-08  6.9239539E-04 -2.3495451E+02  9.1654739E+03  0.0000000E+00  4.5372787E+02  0.0000000E+00     1     0
  1.4229345E+02  2.0549186E-02  2.6053188E-03  9.9879066E+16  1.7420345E+01  1.7420345E+01  2.5658684E+02  2.5950683E+01  2.6395178E-17  2.1779769E-08  6.2360291E-04 -2.3632634E+02  9.1586373E+03  0.0000000E+00  4.9206557E+02  0.0000000E+00     1     0
  1.4417152E+02  1.8557837E-02  2.5545773E-03  1.0171432E+17  1.7394924E+01  1.7394924E+01  2.5639955E+02  2.6446823E+01  2.3390127E-17  1.9272012E-08  5.6152930E-04 -2.3770015E+02  9.1519525E+03  0.0000000E+00  5.3386484E+02  0.0000000E+00     1     0
  1.4606190E+02  1.6754976E-02  2.5051449E-03  1.0357326E+17  1.7370083E+01  1.7370083E+01  2.5621641E+02  2.6949418E+01  2.0723981E-17  1.7050888E-08  5.0553079E-04 -2.3907587E+02  9.1454153E+03  0.0000000E+00  5.7945316E+02  0.0000000E+00     1     0
  1.4796459E+02  1.5123253E-02  2.4569797E-03  1.0545605E+17  1.7345806E+01  1.7345806E+01  2.5603730E+02  2.7458510E+01  1.8358915E-17  1.5083893E-08  4.5502389E-04 -2.4045341E+02  9.1390222E+03  0.0000000E+00  6.2919020E+02  0.0000000E+00     1     0
  1.4987959E+02  1.3646858E-02  2.4100414E-03  1.0736286E+17  1.7322078E+01  1.7322078E+01  2.5586212E+02  2.7974143E+01  1.6261277E-17  1.3342173E-08  4.0947997E-04 -2.4183269E+02  9.1327692E+03  0.0000000E+00  6.8347115E+02  0.0000000E+00     1     0
  1.5180691E+02  1.2311393E-02  2.3642911E-03  1.0929385E+17  1.7298884E+01  1.7298884E+01  2.5569077E+02  2.8496360E+01  1.4401130E-17  1.1800125E-08  3.6842018E-04 -2.4321362E+02  9.1266529E+03  0.0000000E+00  7.4273032E+02  0.0000000E+00     1     0
  1.5374654E+02  1.1103753E-02  2.3196916E-03  1.1124919E+17  1.7276211E+01  1.7276211E+01  2.5552314E+02  2.9025205E+01  1.2751851E-17  1.0435029E-08  3.3141089E-04 -2.4459612E+02  9.1206698E+03  0.0000000E+00  8.0744519E+02  0.0000000E+00     1     0
  1.5569848E+02  1.0012011E-02  2.2762067E-03  1.1322903E+17  1.7254043E+01  1.7254043E+01  2.5535916E+02  2.9560721E+01  1.1289768E-17  9.2267305E-09  2.9805956E-04 -2.4598010E+02  9.1148164E+03  0.0000000E+00  8.7814087E+02  0.0000000E+00     1     0
  1.5766273E+02  9.0253185E-03  2.2338020E-03  1.1523353E+17  1.7232368E+01  1.7232368E+01  2.5519871E+02  3.0102952E+01  9.9938354E-18  8.1573498E-09  2.6801089E-04 -2.4736547E+02  9.1090894E+03  0.0000000E+00  9.5539502E+02  0.0000000E+00     1     0
  1.5963930E+02  8.1338131E-03  2.1924441E-03  1.1726287E+17  1.7211172E+01  1.7211172E+01  2.5504171E+02  3.0651941E+01  8.8453486E-18  7.2110306E-09  2.4094342E-04 -2.4875212E+02  9.1034856E+03  0.0000000E+00  1.0398434E+03  0.0000000E+00     1     0
  1.6162818E+02  7.3285299E-03  2.1521009E-03  1.1931720E+17  1.7190443E+01  1.7190443E+01  2.5488809E+02  3.1207731E+01  7.8276862E-18  6.3737118E-09  2.1656637E-04 -2.5013997E+02  9.0980019E+03  0.0000000E+00  1.1321857E+03  0.0000000E+00     1     0
  1.6362937E+02  6.6013239E-03  2.1127414E-03  1.2139668E+17  1.7170169E+01  1.7170169E+01  2.5473774E+02  3.1770366E+01  6.9260810E-18  5.6329264E-09  1.9461674E-04 -2.5152891E+02  9.0926353E+03  0.0000000E+00  1.2331927E+03  0.0000000E+00     1     0
  1.6564288E+02  5.9447982E-03  2.0743360E-03  1.2350148E+17  1.7150338E+01  1.7150338E+01  2.5459058E+02  3.2339889E+01  6.1274155E-18  4.9776224E-09  1.7485678E-04 -2.5291882E+02  9.0873828E+03  0.0000000E+00  1.3437135E+03  0.0000000E+00     1     0
  1.6766870E+02  5.3522370E-03  2.0368557E-03  1.2563176E+17  1.7130937E+01  1.7130937E+01  2.5444655E+02  3.2916343E+01  5.4200400E-18  4.3980034E-09  1.5707157E-04 -2.5430960E+02  9.0822416E+03  0.0000000E+00  1.4646837E+03  0.0000000E+00     1     0
  1.6970683E+02  4.8175456E-03  2.0002730E-03  1.2778769E+17  1.7111957E+01  1.7111957E+01  2.5430555E+02  3.3499772E+01  4.7936103E-18  3.8853876E-09  1.4106692E-04 -2.5570113E+02  9.0772089E+03  0.0000000E+00  1.5971351E+03  0.0000000E+00     1     0
  1.7175727E+02  4.3351946E-03  1.9645612E-03  1.2996941E+17  1.7093386E+01  1.7093386E+01  2.5416752E+02  3.4090219E+01  4.2389428E-18  3.4320815E-09  1.2666738E-04 -2.5709328E+02  9.0722819E+03  0.0000000E+00  1.7422054E+03  0.0000000E+00     1     0
  1.7382003E+02  3.9001694E-03  1.9296944E-03  1.3217710E+17  1.7075213E+01  1.7075213E+01  2.5403237E+02  3.4687726E+01  3.7478861E-18  3.0312689E-09  1.1371447E-04 -2.5848592E+02  9.0674580E+03  0.0000000E+00  1.9011504E+03  0.0000000E+00     1     0
  1.7589510E+02  3.5079238E-03  1.8956478E-03  1.3441091E+17  1.7057429E+01  1.7057429E+01  2.5390005E+02  3.5292338E+01  3.3132062E-18  2.6769113E-09  1.0206511E-04 -2.5987891E+02  9.0627348E+03  0.0000000E+00  2.0753562E+03  0.0000000E+00     1     0
  1.7798248E+02  3.1543373E-03  1.8623975E-03  1.3667101E+17  1.7040023E+01  1.7040023E+01  2.5377047E+02  3.5904097E+01  2.9284842E-18  2.3636599E-09  9.1590090E-05 -2.6127211E+02  9.0581097E+03  0.0000000E+00  2.2663537E+03  0.0000000E+00     1     0
  1.8008218E+02  2.8356771E-03  1.8299203E-03  1.3895756E+17  1.7022986E+01  1.7022986E+01  2.5364357E+02  3.6523046E+01  2.5880254E-18  2.0867778E-09  8.2172830E-05 -2.6266535E+02  9.0535802E+03  0.0000000E+00  2.4758345E+03  0.0000000E+00     1     0
  1.8219418E+02  2.5485621E-03  1.7981938E-03  1.4127071E+17  1.7006308E+01  1.7006308E+01  2.5351929E+02  3.7149229E+01  2.2867788E-18  1.8420700E-09  7.3708111E-05 -2.6405847E+02  9.0491441E+03  0.0000000E+00  2.7056689E+03  0.0000000E+00     1     0
  1.8431850E+02  2.2899310E-03  1.7671965E-03  1.4361064E+17  1.6989980E+01  1.6989980E+01  2.5339756E+02  3.7782689E+01  2.0202647E-18  1.6258223E-09  6.6101015E-05 -2.6545130E+02  9.0447990E+03  0.0000000E+00  2.9579256E+03  0.0000000E+00     1     0
  1.8645514E+02  2.0570130E-03  1.7369077E-03  1.4597749E+17  1.6973994E+01  1.6973994E+01  2.5327832E+02  3.8423469E+01  1.7845109E-18  1.4347465E-09  5.9265929E-05 -2.6684365E+02  9.0405427E+03  0.0000000E+00  3.2348941E+03  0.0000000E+00     1     0
  1.8860408E+02  1.8473007E-03  1.7073070E-03  1.4837144E+17  1.6958340E+01  1.6958340E+01  2.5316150E+02  3.9071612E+01  1.5759956E-18  1.2659318E-09  5.3125653E-05 -2.6823531E+02  9.0363732E+03  0.0000000E+00  3.5391099E+03  0.0000000E+00     1     0
  1.9076534E+02  1.6585262E-03  1.6783752E-03  1.5079264E+17  1.6943011E+01  1.6943011E+01  2.5304706E+02  3.9727162E+01  1.3915972E-18  1.1168017E-09  4.7610586E-05 -2.6962607E+02  9.0322881E+03  0.0000000E+00  3.8733823E+03  0.0000000E+00     1     0
  1.9293891E+02  1.4886384E-03  1.6500934E-03  1.5324125E+17  1.6927998E+01  1.6927998E+01  2.5293493E+02  4.0390160E+01  1.2285487E-18  9.8507643E-10  4.2657994E-05 -2.7101570E+02  9.0282857E+03  0.0000000E+00  4.2408262E+03  0.0000000E+00     1     0
  1.9512480E+02  1.3357829E-03  1.6224434E-03  1.5571743E+17  1.6913294E+01  1.6913294E+01  2.5282505E+02  4.1060651E+01  1.0843982E-18  8.6873822E-10  3.8211341E-05 -2.7240396E+02  9.0243637E+03  0.0000000E+00  4.6448978E+03  0.0000000E+00     1     0
  1.9732299E+02  1.1982837E-03  1.5954078E-03  1.5822135E+17  1.6898891E+01  1.6898891E+01  2.5271738E+02  4.1738677E+01  9.5697312E-19  7.6600197E-10  3.4219692E-05 -2.7379058E+02  9.0205204E+03  0.0000000E+00  5.0894343E+03  0.0000000E+00     1     0
  1.9953350E+02  1.0746267E-03  1.5689696E-03  1.6075316E+17  1.6884782E+01  1.6884782E+01  2.5261185E+02  4.2424281E+01  8.4434882E-19  6.7528839E-10  3.0637162E-05 -2.7517529E+02  9.0167538E+03  0.0000000E+00  5.5786994E+03  0.0000000E+00     1     0
  2.0175632E+02  9.6344395E-04  1.5431123E-03  1.6331303E+17  1.6870958E+01  1.6870958E+01  2.5250842E+02  4.3117507E+01  7.4482039E-19  5.9520045E-10  2.7422431E-05 -2.7655778E+02  9.0130621E+03  0.0000000E+00  6.1174342E+03  0.0000000E+00     1     0
  2.0399146E+02  8.6350006E-04  1.5178200E-03  1.6590110E+17  1.6857414E+01  1.6857414E+01  2.5240705E+02  4.3818397E+01  6.5687787E-19  5.2450246E-10  2.4538289E-05 -2.7793772E+02  9.0094435E+03  0.0000000E+00  6.7109151E+03  0.0000000E+00     1     0
  2.0623891E+02  7.7367980E-04  1.4930775E-03  1.6851755E+17  1.6844142E+01  1.6844142E+01  2.5230767E+02  4.4526994E+01  5.7918409E-19  4.6210160E-10  2.1951241E-05 -2.7931476E+02  9.0058962E+03  0.0000000E+00  7.3650197E+03  0.0000000E+00     1     0
  2.0849867E+02  6.9297655E-04  1.4688699E-03  1.7116253E+17  1.6831137E+01  1.6831137E+01  2.5221024E+02  4.5243342E+01  5.1055508E-19  4.0703147E-10  1.9631136E-05 -2.8068854E+02  9.0024187E+03  0.0000000E+00  8.0863006E+03  0.0000000E+00     1     0
  2.1077074E+02  6.2048193E-04  1.4451828E-03  1.7383621E+17  1.6818390E+01  1.6818390E+01  2.5211472E+02  4.5967483E+01  4.4994265E-19  3.5843757E-10  1.7550843E-05 -2.8205864E+02  8.9990093E+03  0.0000000E+00  8.8820705E+03  0.0000000E+00     1     0
  2.1305512E+02  5.5537648E-04  1.4220022E-03  1.7653874E+17  1.6805897E+01  1.6805897E+01  2.5202107E+02  4.6699460E+01  3.9641892E-19  3.1556440E-10  1.5685952E-05 -2.8342463E+02  8.9956663E+03  0.0000000E+00  9.7604986E+03  0.0000000E+00     1     0
  2.1535182E+02  4.9692111E-04  1.3993148E-03  1.7927028E+17  1.6793651E+01  1.6793651E+01  2.5192923E+02  4.7439317E+01  3.4916264E-19  2.7774409E-10  1.4014503E-05 -2.8478603E+02  8.9923882E+03  0.0000000E+00  1.0730721E+04  0.0000000E+00     1     0
  2.1766083E+02  4.4444936E-04  1.3771074E-03  1.8203099E+17  1.6781646E+01  1.6781646E+01  2.5183917E+02  4.8187095E+01  3.0744702E-19  2.4438626E-10  1.2516745E-05 -2.8614234E+02  8.9891735E+03  0.0000000E+00  1.1802966E+04  0.0000000E+00     1     0
  2.1998216E+02  3.9736044E-04  1.3553675E-03  1.8482103E+17  1.6769876E+01  1.6769876E+01  2.5175084E+02  4.8942839E+01  2.7062893E-19  2.1496909E-10  1.1174918E-05 -2.8749300E+02  8.9860208E+03  0.0000000E+00  1.2988701E+04  0.0000000E+00     1     0
  2.2231580E+02  3.5511285E-04  1.3340828E-03  1.8764057E+17  1.6758337E+01  1.6758337E+01  2.5166421E+02  4.9706590E+01  2.3813935E-19  1.8903143E-10  9.9730550E-06 -2.8883742E+02  8.9829285E+03  0.0000000E+00  1.4300796E+04  0.0000000E+00     1     0
  2.2466174E+02  3.1721866E-04  1.3132414E-03  1.9048975E+17  1.6747022E+01  1.6747022E+01  2.5157923E+02  5.0478392E+01  2.0947489E-19  1.6616574E-10  8.8968014E-06 -2.9017495E+02  8.9798954E+03  0.0000000E+00  1.5753715E+04  0.0000000E+00     1     0
  2.2702001E+02  2.8323833E-04  1.2928319E-03  1.9336874E+17  1.6735926E+01  1.6735926E+01  2.5149587E+02  5.1258288E+01  1.8419026E-19  1.4601193E-10  7.9332564E-06 -2.9150489E+02  8.9769200E+03  0.0000000E+00  1.7363739E+04  0.0000000E+00     1     0
  2.2939058E+02  2.5277593E-04  1.2728431E-03  1.9627770E+17  1.6725043E+01  1.6725043E+01  2.5141410E+02  5.2046321E+01  1.6189164E-19  1.2825184E-10  7.0708272E-06 -2.9282649E+02  8.9740010E+03  0.0000000E+00  1.9149223E+04  0.0000000E+00     1     0
  2.3177347E+02  2.2547496E-04  1.2532643E-03  1.9921679E+17  1.6714370E+01  1.6714370E+01  2.5133386E+02  5.2842533E+01  1.4223073E-19  1.1260441E-10  6.2990980E-06 -2.9413890E+02  8.9711371E+03  0.0000000E+00  2.1130886E+04  0.0000000E+00     1     0
  2.3416867E+02  2.0101447E-04  1.2340850E-03  2.0218617E+17  1.6703901E+01  1.6703901E+01  2.5125514E+02  5.3646967E+01  1.2489955E-19  9.8821341E-11  5.6087120E-06 -2.9544124E+02  8.9683272E+03  0.0000000E+00  2.3332167E+04  0.0000000E+00     1     0
  2.3657618E+02  1.7910554E-04  1.2152950E-03  2.0518599E+17  1.6693632E+01  1.6693632E+01  2.5117789E+02  5.4459666E+01  1.0962580E-19  8.6683323E-11  4.9912655E-06 -2.9673252E+02  8.9655699E+03  0.0000000E+00  2.5779618E+04  0.0000000E+00     1     0
  2.3899601E+02  1.5948819E-04  1.1968846E-03  2.0821641E+17  1.6683557E+01  1.6683557E+01  2.5110208E+02  5.5280674E+01  9.6168747E-20  7.5996666E-11  4.4392113E-06 -2.9801167E+02  8.9628640E+03  0.0000000E+00  2.8503384E+04  0.0000000E+00     1     0
  2.4142815E+02  1.4192850E-04  1.1788442E-03  2.1127760E+17  1.6673672E+01  1.6673672E+01  2.5102769E+02  5.6110032E+01  8.4315584E-20  6.6590312E-11  3.9457734E-06 -2.9927752E+02  8.9602085E+03  0.0000000E+00  3.1537754E+04  0.0000000E+00     1     0
  2.4387260E+02  1.2621604E-04  1.1611645E-03  2.1436971E+17  1.6663973E+01  1.6663973E+01  2.5095467E+02  5.6947784E+01  7.3878230E-20  5.8313215E-11  3.5048682E-06 -3.0052878E+02  8.9576021E+03  0.0000000E+00  3.4921817E+04  0.0000000E+00     1     0
  2.4632936E+02  1.1216156E-04  1.1438366E-03  2.1749290E+17  1.6654456E+01  1.6654456E+01  2.5088300E+02  5.7793972E+01  6.4690459E-20  5.1032006E-11  3.1110354E-06 -3.0176405E+02  8.9550439E+03  0.0000000E+00  3.8700230E+04  0.0000000E+00     1     0
  2.4879844E+02  9.9594863E-05  1.1268517E-03  2.2064733E+17  1.6645117E+01  1.6645117E+01  2.5081264E+02  5.8648639E+01  5.6605385E-20  4.4628937E-11  2.7593745E-06 -3.0298179E+02  8.9525326E+03  0.0000000E+00  4.2924142E+04  0.0000000E+00     1     0
  2.5127983E+02  8.8362961E-05  1.1102015E-03  2.2383316E+17  1.6635951E+01  1.6635951E+01  2.5074358E+02  5.9511828E+01  4.9493220E-20  3.9000061E-11  2.4454880E-06 -3.0418029E+02  8.9500674E+03  0.0000000E+00  4.7652285E+04  0.0000000E+00     1     0
  2.5377353E+02  7.8328324E-05  1.0938777E-03  2.2705054E+17  1.6626955E+01  1.6626955E+01  2.5067577E+02  6.0383583E+01  4.3239305E-20  3.4053625E-11  2.1654306E-06 -3.0535767E+02  8.9476471E+03  0.0000000E+00  5.2952279E+04  0.0000000E+00     1     0
  2.5627955E+02  6.9367354E-05  1.0778724E-03  2.3029964E+17  1.6618124E+01  1.6618124E+01  2.5060919E+02  6.1263944E+01  3.7742348E-20  2.9708646E-11  1.9156631E-06 -3.0651186E+02  8.9452707E+03  0.0000000E+00  5.8902207E+04  0.0000000E+00     1     0
  2.5879787E+02  6.1368996E-05  1.0621777E-03  2.3358062E+17  1.6609456E+01  1.6609456E+01  2.5054382E+02  6.2152956E+01  3.2912887E-20  2.5893652E-11  1.6930112E-06 -3.0764056E+02  8.9429373E+03  0.0000000E+00  6.5592508E+04  0.0000000E+00     1     0
  2.6132851E+02  5.4233480E-05  1.0467864E-03  2.3689362E+17  1.6600946E+01  1.6600946E+01  2.5047963E+02  6.3050662E+01  2.8671906E-20  2.2545576E-11  1.4946280E-06 -3.0874119E+02  8.9406460E+03  0.0000000E+00  7.3128280E+04  0.0000000E+00     1     0
  2.6387147E+02  4.7871190E-05  1.0316909E-03  2.4023882E+17  1.6592591E+01  1.6592591E+01  2.5041659E+02  6.3957103E+01  2.4949635E-20  1.9608769E-11  1.3179612E-06 -3.0981092E+02  8.9383959E+03  0.0000000E+00  8.1632075E+04  0.0000000E+00     1     0
  2.6642673E+02  4.2201650E-05  1.0168843E-03  2.4361637E+17  1.6584387E+01  1.6584387E+01  2.5035468E+02  6.4872322E+01  2.1684466E-20  1.7034135E-11  1.1607221E-06 -3.1084654E+02  8.9361859E+03  0.0000000E+00  9.1247336E+04  0.0000000E+00     1     0
  2.6899431E+02  3.7152597E-05  1.0023597E-03  2.4702642E+17  1.6576331E+01  1.6576331E+01  2.5029387E+02  6.5796363E+01  1.8822012E-20  1.4778365E-11  1.0208596E-06 -3.1184449E+02  8.9340154E+03  0.0000000E+00  1.0214262E+05  0.0000000E+00     1     0
  2.7157420E+02  3.2659163E-05  9.8811043E-04  2.5046914E+17  1.6568421E+01  1.6568421E+01  2.5023414E+02  6.6729268E+01  1.6314262E-20  1.2803258E-11  8.9653505E-07 -3.1280073E+02  8.9318834E+03  0.0000000E+00  1.1451684E+05  0.0000000E+00     1     0
  2.7416641E+02  2.8663121E-05  9.7412994E-04  2.5394469E+17  1.6560652E+01  1.6560652E+01  2.5017546E+02  6.7671080E+01  1.4118843E-20  1.1075121E-11  7.8610095E-07 -3.1371072E+02  8.9297890E+03  0.0000000E+00  1.2860578E+05  0.0000000E+00     1     0
  2.7677093E+02  2.5112220E-05  9.6041196E-04  2.5745321E+17  1.6553021E+01  1.6553021E+01  2.5011782E+02  6.8621842E+01  1.2198361E-20  9.5642453E-12  6.8808116E-07 -3.1456930E+02  8.9277316E+03  0.0000000E+00  1.4469031E+05  0.0000000E+00     1     0
  2.7938776E+02  2.1959579E-05  9.4695034E-04  2.6099488E+17  1.6545527E+01  1.6545527E+01  2.5006119E+02  6.9581595E+01  1.0519821E-20  8.2444350E-12  6.0115323E-07 -3.1537060E+02  8.9257102E+03  0.0000000E+00  1.6310672E+05  0.0000000E+00     1     0
  2.8201690E+02  1.9163138E-05  9.3373913E-04  2.6456985E+17  1.6538164E+01  1.6538164E+01  2.5000555E+02  7.0550384E+01  9.0541149E-21  7.0925964E-12  5.2413269E-07 -3.1610791E+02  8.9237242E+03  0.0000000E+00  1.8425994E+05  0.0000000E+00     1     0
  2.8465835E+02  1.6685178E-05  9.2077254E-04  2.6817827E+17  1.6530932E+01  1.6530932E+01  2.4995088E+02  7.1528250E+01  7.7755655E-21  6.0883732E-12  4.5595872E-07 -3.1677350E+02  8.9217727E+03  0.0000000E+00  2.0864047E+05  0.0000000E+00     1     0
  2.8731212E+02  1.4491870E-05  9.0804492E-04  2.7182030E+17  1.6523827E+01  1.6523827E+01  2.4989716E+02  7.2515237E+01  6.6615287E-21  5.2138253E-12  3.9568145E-07 -3.1735847E+02  8.9198551E+03  0.0000000E+00  2.3684629E+05  0.0000000E+00     1     0
  2.8997820E+02  1.2552886E-05  8.9555081E-04  2.7549611E+17  1.6516846E+01  1.6516846E+01  2.4984436E+02  7.3511387E+01  5.6920370E-21  4.4531442E-12  3.4245049E-07 -3.1785247E+02  8.9179707E+03  0.0000000E+00  2.6961159E+05  0.0000000E+00     1     0
  2.9265659E+02  1.0841039E-05  8.8328486E-04  2.7920585E+17  1.6509986E+01  1.6509986E+01  2.4979247E+02  7.4516742E+01  4.8494868E-21  3.7924025E-12  2.9550464E-07 -3.1824339E+02  8.9161187E+03  0.0000000E+00  3.0784465E+05  0.0000000E+00     1     0
  2.9534730E+02  9.3319621E-06  8.7124189E-04  2.8294968E+17  1.6503246E+01  1.6503246E+01  2.4974148E+02  7.5531346E+01  4.1183617E-21  3.2193322E-12  2.5416263E-07 -3.1851701E+02  8.9142984E+03  0.0000000E+00  3.5267837E+05  0.0000000E+00     1     0
  2.9805032E+02  8.0038231E-06  8.5941686E-04  2.8672776E+17  1.6496622E+01  1.6496622E+01  2.4969135E+02  7.6555241E+01  3.4849881E-21  2.7231292E-12  2.1781486E-07 -3.1865647E+02  8.9125092E+03  0.0000000E+00  4.0553865E+05  0.0000000E+00     1     0
  3.0076565E+02  6.8370615E-06  8.4780486E-04  2.9054024E+17  1.6490112E+01  1.6490112E+01  2.4964208E+02  7.7588470E+01  2.9373185E-21  2.2942809E-12  1.8591596E-07 -3.1864167E+02  8.9107505E+03  0.0000000E+00  4.6823791E+05  0.0000000E+00     1     0
  3.0349330E+02  5.8141577E-06  8.3640112E-04  2.9438728E+17  1.6483713E+01  1.6483713E+01  2.4959365E+02  7.8631075E+01  2.4647413E-21  1.9244132E-12  1.5797811E-07 -3.1844840E+02  8.9090216E+03  0.0000000E+00  5.4310485E+05  0.0000000E+00     1     0
  3.0623325E+02  4.9194230E-06  8.2520098E-04  2.9826905E+17  1.6477424E+01  1.6477424E+01  2.4954603E+02  7.9683099E+01  2.0579115E-21  1.6061569E-12  1.3356505E-07 -3.1804726E+02  8.9073219E+03  0.0000000E+00  6.3316746E+05  0.0000000E+00     1     0
  3.0898552E+02  4.1388116E-06  8.1419993E-04  3.0218569E+17  1.6471242E+01  1.6471242E+01  2.4949921E+02  8.0744585E+01  1.7086023E-21  1.3330280E-12  1.1228671E-07 -3.1740217E+02  8.9056509E+03  0.0000000E+00  7.4241535E+05  0.0000000E+00     1     0
  3.1175010E+02  3.4597511E-06  8.0339356E-04  3.0613737E+17  1.6465165E+01  1.6465165E+01  2.4945318E+02  8.1815575E+01  1.4095731E-21  1.0993238E-12  9.3794427E-08 -3.1646840E+02  8.9040078E+03  0.0000000E+00  8.7618313E+05  0.0000000E+00     1     0
  3.1452700E+02  2.8709913E-06  7.9277758E-04  3.1012424E+17  1.6459190E+01  1.6459190E+01  2.4940792E+02  8.2896113E+01  1.1544535E-21  9.0002976E-13  7.7776577E-08 -3.1518974E+02  8.9023922E+03  0.0000000E+00  1.0417226E+06  0.0000000E+00     1     0
  3.1731621E+02  2.3624674E-06  7.8234781E-04  3.1414646E+17  1.6453316E+01  1.6453316E+01  2.4936341E+02  8.3986240E+01  9.3764064E-22  7.3073820E-13  6.3954736E-08 -3.1349464E+02  8.9008034E+03  0.0000000E+00  1.2490768E+06  0.0000000E+00     1     0
  3.2011773E+02  1.9251774E-06  7.7210020E-04  3.1820419E+17  1.6447541E+01  1.6447541E+01  2.4931963E+02  8.5086000E+01  7.5420845E-22  5.8757634E-13  5.2080206E-08 -3.1129053E+02  8.8992410E+03  0.0000000E+00  1.5124525E+06  0.0000000E+00     1     0
  3.2293156E+02  1.5510726E-06  7.6203078E-04  3.2229759E+17  1.6441861E+01  1.6441861E+01  2.4927659E+02  8.6195434E+01  5.9982784E-22  4.6714267E-13  4.1930892E-08 -3.0845548E+02  8.8977045E+03  0.0000000E+00  1.8524403E+06  0.0000000E+00     1     0
